window_label,start_hour,end_hour,center_hour,center_hour_mod,n_obs,n_zones,rho_noise_ceiling,rho_noise_ceiling_std,R2_noise_ceiling,R2_noise_ceiling_std,n_days_used,n_day_pairs_used,n_total_valid_trials
000.0-003.0,0.0,3.0,1.5,1.5,8672,30,0.4284358764616173,0.4953945673833819,0.4289715831448592,0.38462690811043226,98,1654,164214
000.5-003.5,0.5,3.5,2.0,2.0,8320,30,0.42660089664069406,0.47407766261762696,0.4067364598177022,0.37540203268233835,100,1512,150295
001.0-004.0,1.0,4.0,2.5,2.5,7947,30,0.41917822204340716,0.46776094524459455,0.3945091974275632,0.37134067338047216,101,1480,147211
001.5-004.5,1.5,4.5,3.0,3.0,7593,30,0.4214419415753308,0.4882650912076928,0.4160145251390773,0.3806494255138984,101,1515,150481
002.0-005.0,2.0,5.0,3.5,3.5,7414,30,0.42411150848922446,0.46915345999299235,0.399974151350414,0.3751037634977287,100,1593,158428
002.5-005.5,2.5,5.5,4.0,4.0,7215,30,0.42129580872561306,0.48114605542811445,0.4089902732594724,0.3798606599654998,98,1650,163971
003.0-006.0,3.0,6.0,4.5,4.5,7135,30,0.4076438950816267,0.4826115885819838,0.3990859668435869,0.37875528982325,97,1538,152852
003.5-006.5,3.5,6.5,5.0,5.0,7197,30,0.40771317695073406,0.4902440410709425,0.4065676720364653,0.3791467594160294,98,1528,151880
004.0-007.0,4.0,7.0,5.5,5.5,7390,30,0.41746195894031635,0.4809355985769638,0.4055719294684241,0.37511195806168296,97,1447,143872
004.5-007.5,4.5,7.5,6.0,6.0,7641,30,0.43857148776125354,0.4727467787104602,0.41583306009069393,0.3724225654008177,101,1599,158890
005.0-008.0,5.0,8.0,6.5,6.5,7819,30,0.45939950530487705,0.4739193632736335,0.4356461169544135,0.37480080874838945,100,1672,166197
005.5-008.5,5.5,8.5,7.0,7.0,8070,30,0.46555485820300047,0.4689661135503036,0.43666926894583635,0.3723291341107126,100,1738,172804
006.0-009.0,6.0,9.0,7.5,7.5,8435,30,0.46806960434896633,0.45936767405506057,0.4301067294863706,0.3714997135838152,102,1956,194488
006.5-009.5,6.5,9.5,8.0,8.0,8771,30,0.4751482370505653,0.45055180326853117,0.42876170513206435,0.36852524962791366,103,1908,189811
007.0-010.0,7.0,10.0,8.5,8.5,9145,30,0.47244865424458765,0.43111597656970935,0.4090677217742218,0.3599337847180114,102,1876,186912
007.5-010.5,7.5,10.5,9.0,9.0,9459,30,0.4776448684977175,0.4596906517621632,0.43945903479440473,0.37124855461304695,103,1967,195495
008.0-011.0,8.0,11.0,9.5,9.5,9717,30,0.47167549225793987,0.4614527911603817,0.4354153725947774,0.370411350353788,104,1992,197922
008.5-011.5,8.5,11.5,10.0,10.0,9919,30,0.46830450284997227,0.4546250630132127,0.42599202578633216,0.36906727678296214,105,2020,200757
009.0-012.0,9.0,12.0,10.5,10.5,10024,30,0.45338014321807796,0.4454663632095828,0.4039928178686849,0.3629871664936809,105,1961,195095
009.5-012.5,9.5,12.5,11.0,11.0,10038,30,0.45034108049915067,0.46451057950556013,0.418576111615633,0.37018582867757,105,2057,204397
010.0-013.0,10.0,13.0,11.5,11.5,9897,30,0.4517367267803073,0.44965324446802013,0.40625309195193865,0.36572561936667536,105,1995,198490
010.5-013.5,10.5,13.5,12.0,12.0,9840,30,0.442492296003856,0.4586599561727714,0.4061673577785947,0.3669891349484878,107,2054,204313
011.0-014.0,11.0,14.0,12.5,12.5,9750,30,0.4364633012530251,0.46907676731512715,0.4105322150503074,0.37008539371319044,106,2188,217440
011.5-014.5,11.5,14.5,13.0,13.0,9669,30,0.44127745812466423,0.48397637072812744,0.42895781879107603,0.3753917952345159,106,2138,212229
012.0-015.0,12.0,15.0,13.5,13.5,9594,30,0.4496599314161778,0.47753658833697044,0.4302341438371665,0.37445098081835937,106,2082,206693
012.5-015.5,12.5,15.5,14.0,14.0,9614,30,0.4575267470071042,0.4624528808723463,0.4231923217909754,0.3713415965594359,104,2011,199972
013.0-016.0,13.0,16.0,14.5,14.5,9633,30,0.4662485967429883,0.4531353396238074,0.42271833371005907,0.36782025534437557,103,1954,194393
013.5-016.5,13.5,16.5,15.0,15.0,9552,30,0.467091220581605,0.4447248871897245,0.41595337381141834,0.3655537775401137,102,1875,186617
014.0-017.0,14.0,17.0,15.5,15.5,9523,30,0.46258874194337923,0.43795314437150357,0.4057901792616351,0.36188507227292804,101,1718,171012
014.5-017.5,14.5,17.5,16.0,16.0,9430,30,0.4675670823940267,0.438350244356287,0.41076869408799827,0.36429091726750196,101,1583,157607
015.0-018.0,15.0,18.0,16.5,16.5,9371,30,0.4636219723266921,0.4655506954309077,0.4316814789915363,0.3717191849691943,99,1671,166178
015.5-018.5,15.5,18.5,17.0,17.0,9269,30,0.4574046004918671,0.4307549084619511,0.39476762962327566,0.3589833233648863,98,1648,164190
016.0-019.0,16.0,19.0,17.5,17.5,9177,30,0.4490720123753066,0.42119012208952666,0.37906568537668434,0.35334534445387344,101,1609,160418
016.5-019.5,16.5,19.5,18.0,18.0,9004,30,0.4283334009751641,0.4358554745953843,0.3734382454538484,0.357598513150977,98,1523,151773
017.0-020.0,17.0,20.0,18.5,18.5,8816,30,0.42045872676404455,0.45695086630943527,0.38558825731558033,0.3695946165214113,99,1523,151547
017.5-020.5,17.5,20.5,19.0,19.0,8676,30,0.40824444820014544,0.45278762035081277,0.3716787928532344,0.3657869169661501,102,1508,150110
018.0-021.0,18.0,21.0,19.5,19.5,8595,30,0.4048413334304961,0.47471907860454554,0.3892532946197073,0.37542341481946284,100,1603,159351
018.5-021.5,18.5,21.5,20.0,20.0,8541,30,0.3924566037696803,0.48601529829531565,0.3902314182707268,0.3778603667724671,99,1451,144229
019.0-022.0,19.0,22.0,20.5,20.5,8594,30,0.40267351368551985,0.5034487493813313,0.4156049313729229,0.3868971835975645,101,1529,151727
019.5-022.5,19.5,22.5,21.0,21.0,8787,30,0.39848227012739085,0.5005157745674931,0.40930266130342985,0.385228590955189,100,1684,167134
020.0-023.0,20.0,23.0,21.5,21.5,8957,30,0.39092811189991894,0.46569725452377214,0.36969738207248276,0.36852848293757334,101,1627,161910
020.5-023.5,20.5,23.5,22.0,22.0,9124,30,0.39700381702047,0.4783065371341001,0.38638776393073615,0.3760700238427014,99,1632,162223
021.0-000.0,21.0,24.0,22.5,22.5,9208,30,0.4043999235212924,0.48131172663122457,0.395198862951088,0.37894390670352845,98,1650,163905
021.5-000.5,21.5,24.5,23.0,23.0,9284,30,0.39741927371540864,0.45744542368562013,0.3671974894564171,0.36324227054839103,106,2322,231142
022.0-001.0,22.0,25.0,23.5,23.5,9251,30,0.41143276954118213,0.4575643469143744,0.37864117420491233,0.3657465719686387,106,2388,237587
022.5-001.5,22.5,25.5,24.0,0.0,9158,30,0.4125522304681525,0.4417777501965511,0.365366106996189,0.35737941130517986,107,2401,239048
023.0-002.0,23.0,26.0,24.5,0.5,9038,30,0.41515319681449103,0.4421091429831487,0.36781183186292743,0.35754387745459865,106,2338,232893
023.5-002.5,23.5,26.5,25.0,1.0,8931,30,0.4100483136505273,0.4634616069040553,0.3829353436356584,0.3678036649560594,106,2304,229247
