start_hour,center_hour,center_hour_mod,window_label,ACI_z,ACTspCount_z,ACTspFract_z,ACTspMean_z,ACTtCount_z,ACTtFraction_z,ACTtMean_z,ADI_z,AEI_z,AGI_z,AnthroEnergy_z,BGNf_z,BGNt_z,BI_z,BioEnergy_z,EAS_z,ECU_z,ECV_z,ENRf_z,EPS_KURT_z,EPS_SKEW_z,EPS_z,EVNspCount_z,EVNspFract_z,EVNspMean_z,EVNtCount_z,EVNtFraction_z,EVNtMean_z,HFC_z,H_GiniSimpson_z,H_Havrda_z,H_Renyi_z,H_gamma_z,H_pairedShannon_z,Hf_z,Ht_z,KURTf_z,KURTt_z,LEQf_z,LEQt_z,LFC_z,MEANf_z,MEANt_z,MED_z,MFC_z,NBPEAKS_z,NDSI_z,RAOQ_z,ROU_z,SKEWf_z,SKEWt_z,SNRf_z,SNRt_z,TFSD_z,VARf_z,VARt_z,ZCR_z,aROI_z,nROI_z,rBA_z
0.0,1.5,1.5,000.0-003.0,8.685563659184281e-10,2.4626920911274237e-23,7.480538725365885e-06,1.7257982679584756e-06,9.176075345621777e-21,1.1938991176352668e-52,3.173738731160765e-32,0.1282022304700061,0.27432187469643854,6.897476925973703e-39,1.5166348883517393e-45,1.2079331380347706e-78,7.284187006220412e-58,0.24572084389643292,9.652076773120608e-21,1.2212953983428058e-118,5.637829471379091e-65,4.102459550016161e-23,3.1315119791799883e-52,3.5481304693213096e-10,6.094894280494165e-07,0.0011300009914926783,3.968403594766179e-25,2.4508584431039336e-10,4.7784022908619455e-05,2.9375887902773795e-18,1.14005650877669e-20,0.00015778331402785362,1.0882722521153784e-05,4.6597214186236846e-32,1.915006967484528e-30,1.9916324951369753e-11,3.2113424853937175e-13,3.8160889036722346e-39,6.300749832553721e-06,3.5507079965739924e-29,0.03591484948655141,2.295035304166392e-13,0.002820105677625645,7.749402930809143e-28,5.61037591877987e-12,0.7121990537217289,0.003426569157085599,2.5864270571481087e-60,2.4167668459467067e-05,4.74476365614773e-53,3.900900147432117e-05,1.7401833630979487e-09,3.722120936954979e-10,6.028868104872186e-12,8.401006241114689e-09,1.7179345264216255e-06,4.559161430085378e-11,0.6819762762459067,6.458937606473529e-27,0.1295044624252496,5.88358338703673e-49,0.13849558675325196,3.331338838361995e-48,0.40383537716092793
0.5,2.0,2.0,000.5-003.5,5.2402688494890385e-19,0.7405131976847275,1.488298629558214e-05,7.31378270907708e-50,9.164702117298266e-05,3.1428549310912294e-51,1.0965819873812543e-37,5.108265748911225e-13,8.434248861227458e-15,2.8972748414857317e-15,2.9043606709791827e-21,6.68991183891876e-81,5.557677545919589e-66,3.359314240076902e-11,1.75175133128619e-11,7.509916772722783e-44,1.0690892314834897e-44,3.768820221656258e-32,1.9852861291367124e-35,1.832842014251044e-24,7.758270722515474e-07,1.5773575260903257e-05,0.006106170503942641,0.8536456581775083,9.166538350873826e-05,0.09068390770274726,1.1277585986716463e-64,5.113578167297392e-30,1.4634595771378169e-35,1.9708357023125005e-25,0.050305733111242194,1.1446478829537005e-18,0.40349541304405023,1.4655639475884909e-08,0.00017499759679921457,7.250327994127546e-36,0.6691029577830344,1.6134595598004942e-45,4.469619841874159e-48,1.1075658365586247e-43,2.7004968774461857e-37,1.5449953215945834e-50,7.039761149104484e-05,1.6279785191086839e-35,7.185586877069982e-57,5.3369990526068625e-49,5.4874987459548454e-08,3.341765999603714e-17,2.6035913827685265e-33,0.00016247517860057924,1.0781870004093903e-31,3.6704632885344964e-57,9.234725051583951e-42,2.9304982280918287e-22,1.5316508318819822e-07,0.0001350678405045941,1.171171675663644e-43,1.5060987020792961e-30,0.0001514751059421335,2.191987352015699e-33
1.0,2.5,2.5,001.0-004.0,2.2480896206386653e-49,0.0018618884835760287,1.4202620309443036e-11,2.1909117841239973e-59,0.0016575338407157953,6.272570196599514e-80,3.195262648876673e-105,8.435182566525956e-07,0.004157736211539306,2.710246714333993e-20,4.959226270282626e-07,8.781510872300829e-38,1.5519637645833034e-62,5.72143033270565e-17,9.341944796612064e-48,2.185863087721072e-50,1.0027518045835966e-71,9.915068018113627e-84,2.0598998182945845e-13,3.722964942403997e-22,3.525703535160664e-08,3.690257054824145e-07,7.868383444394358e-07,2.011634618713675e-26,6.981796830824366e-06,2.925702788227619e-66,0.0047828604631689345,2.4770208943354512e-05,1.0344816643363813e-21,1.646052498841412e-08,5.707038246231391e-20,0.36303418564901974,8.079865885636451e-57,0.9437787729882511,0.8936848013594947,1.5051904539740381e-30,7.236151813386774e-23,1.6856695482141228e-27,2.016795140315946e-13,0.11084258007368453,0.00012832201390753498,6.072897583369636e-35,9.635845496175851e-22,2.70306466772276e-24,4.1667760842300536e-26,3.606772864779137e-06,6.030030042294213e-17,7.636689122442046e-14,3.257567323438665e-39,8.611974240813621e-23,7.563555838154586e-12,5.8881307447267055e-05,0.22790246096951997,2.015677273745556e-52,0.04096843659363144,0.000334287430599831,0.023088901702140428,5.170214335696289e-25,2.2926392200864933e-50,7.968105520376204e-33
1.5,3.0,3.0,001.5-004.5,5.786412362844862e-37,6.209660022182699e-18,5.430167622700773e-09,7.461185469410656e-52,2.278977770047983e-09,3.510918971298849e-44,3.640751826345527e-92,4.925022467387944e-10,8.872381499860764e-46,3.453126539315035e-06,5.44114577631844e-26,7.234285373559161e-71,2.2775471470059513e-36,0.0004742185796275761,7.015512537316812e-40,1.507009046721746e-40,6.156591040324744e-76,9.74933259920331e-74,1.6495472746448077e-52,0.010158456952194219,3.466306061925103e-13,3.203254409234344e-30,8.665152839975279e-09,0.8063891352220065,1.1701668509156572e-53,2.2632623243335194e-19,1.3314729211216024e-76,1.5486648744644284e-40,7.649783945474737e-20,5.186888635829109e-19,7.612009515362092e-15,7.028227760260289e-29,1.855980059025622e-11,0.0004229696968614964,0.00011916652303408294,3.7421674747527786e-53,1.3435780552423435e-13,0.03105535001708597,3.0267735957694824e-36,1.9591627196972625e-07,0.6942609167500663,4.640901624590881e-56,9.870197643374431e-26,0.9138893356925929,0.01253157241874795,0.7365266583941958,0.2543965403130437,0.19478175605688813,2.490763133312134e-09,0.0001868208465293801,0.0169822418055452,9.979252465002538e-73,3.940434494375238e-93,1.2892848767586684e-08,0.0009805138471490446,5.911080322404436e-15,1.5368868389130057e-55,1.4252251876305195e-23,0.012386305903797131,8.842348432110472e-27
2.0,3.5,3.5,002.0-005.0,1.4785878030160528e-35,1.5990329370317534e-06,2.1992789312092047e-56,4.6700543480872554e-08,3.4307334156108193e-57,2.023821345812064e-13,3.968211057609473e-64,5.652041388518519e-27,5.665558987782961e-59,4.095055303977597e-06,1.706423347367274e-52,2.2845554289435634e-49,3.7816798527603867e-29,0.13528584441033917,1.0045242111284055e-06,7.314816859362305e-97,3.286294507664866e-93,1.1877773793275068e-90,1.0682977150135293e-13,1.6624950200320164e-08,1.8642843910034034e-50,1.6491407610203429e-22,1.8386120909883337e-10,3.9622085202889156e-10,3.1234650377706525e-37,1.982430719578664e-08,9.560749302179216e-25,3.0459826121386164e-11,4.2033037323464017e-13,5.588936042768503e-69,5.714541895591373e-35,0.3792305206243114,5.284833906741722e-44,5.91693992684568e-09,9.0193814967937e-17,2.1050201652922604e-24,8.025761920502783e-47,0.0027349923536091588,3.670911363850327e-10,5.3363489094927075e-39,4.757942015457284e-44,2.8672255989730343e-06,3.4638633202834e-13,4.819073405309868e-11,0.010339715581538487,2.6227620504625346e-09,0.06931560238424823,3.1258353870038473e-34,3.046225072869974e-61,0.037815526782484316,3.2870517795720947e-66,6.6232814979387756e-18,5.224276731690432e-45,1.8022214974614438e-53,0.07889206414170581,0.0005863752933542863,0.8470913269049727,2.1631261893391225e-06,3.169615704981744e-11,1.0900995340535405e-08
2.5,4.0,4.0,002.5-005.5,6.319502090554425e-08,4.1105465545509395e-16,6.575154552427054e-14,7.216934991881337e-39,7.650496878109026e-27,0.00509135949189536,2.555639246398273e-37,3.9225384434569424e-38,3.7182986387865625e-10,1.7176835804220377e-49,1.7404941578894734e-12,6.295876103342882e-59,2.4271966585213423e-35,3.169779412132407e-20,0.08503680903393233,3.504114592458644e-15,5.6208616392657714e-89,4.82040906909308e-52,0.6626281613218873,5.5284699980709665e-18,2.598077837729918e-28,0.000876093769770303,2.1708450949018734e-31,2.6515313740781726e-05,2.0024492743077285e-32,3.469173185474222e-29,0.007155107225961975,3.0809047003056906e-07,0.001354591048468276,1.0795307508838117e-35,4.139283848977095e-13,6.6079267524736344e-49,1.2528073632770517e-28,1.9170017822741292e-39,1.2454668872460111e-42,2.196459942848404e-12,1.519302526399013e-44,1.1159098463793022e-91,2.8705340453857125e-08,0.7852838727613546,1.0818626535551293e-30,8.024290299532538e-14,2.538724553072855e-71,3.782694640814148e-52,0.01683116836066719,3.719674933169678e-25,1.0958089889300288e-15,1.2979675658728968e-24,0.044211616531115244,1.2779079080928348e-46,0.2601264031588015,1.6594198909452685e-11,4.5046312499009596e-36,1.4098299254285174e-51,9.594019879808628e-05,8.133651435930645e-55,7.945821155465741e-13,1.5803135961976678e-25,5.023632729229571e-65,1.7345356367242038e-08
3.0,4.5,4.5,003.0-006.0,4.689476740315126e-42,9.309716519004602e-14,0.603561897702955,1.1095898131937529e-42,1.4998581521929697e-29,7.416776669895152e-14,6.96226228024748e-39,9.55935927456289e-34,3.4693873794972877e-16,3.004252864206739e-13,0.0028456904689137894,3.55572033096815e-40,8.128313307247425e-34,1.4449966305866048e-29,0.8758263593544114,4.3711525122041496e-27,2.171918822328413e-80,7.605738926644026e-70,4.122125992388173e-26,0.005007126041379077,2.720003922572695e-38,4.696954133341317e-05,1.556432649945515e-67,0.040405811670121944,1.979982410945733e-09,0.007958781857114041,2.0688334033582134e-20,4.091379889624285e-87,9.537669649048158e-10,1.190907494777597e-28,2.8888934190048972e-40,2.7284078414304534e-57,0.00261351977880194,1.8251702345800907e-43,6.396908045799998e-77,2.770318399259388e-18,0.7749835451541898,5.78294344923713e-76,0.00023037567948217303,0.09277643316780435,0.09717633076909743,7.941545861471091e-25,1.2099301024568616e-29,2.229667463736607e-36,5.1784302709431854e-14,1.9717577055026174e-17,2.6207828318109898e-36,2.342256667431208e-30,1.6843344037164154e-21,6.338433804515182e-52,7.351825918357534e-07,5.4368199939734e-83,8.082145658114647e-21,1.3615330955279224e-36,2.595078249413081e-56,2.167936581267702e-32,0.17082447965750286,2.4544065016196894e-27,7.306624675447897e-63,8.135798333125846e-21
3.5,5.0,5.0,003.5-006.5,0.0002190748613120128,0.031130682633757973,0.0002222117539056989,0.0008397055657967844,0.0008217654749209549,2.2659921870800498e-11,1.4358471083764782e-75,8.341461606796778e-40,0.0004110385838043208,5.4410219405637e-16,4.8740878219490484e-51,6.868948071545032e-34,0.00043531443609253097,5.468812460788536e-12,7.217972881550417e-38,1.248879704361921e-05,3.450074295782776e-86,1.2457935649306304e-18,2.3975254154343187e-13,8.186038221856861e-05,0.2654167708093045,1.672167548091953e-93,0.8303594625484427,0.0068245587876565586,6.066711793449461e-22,2.684603959080527e-33,0.002304175665559431,3.08109397459907e-06,0.086389534868524,6.700548352342804e-06,0.10870260035218703,1.223101571126819e-79,0.4059554916639736,2.845500377948001e-43,4.6186789677348304e-71,1.690927722565018e-17,3.193146065962641e-61,3.260687088372835e-21,6.107928350916678e-11,9.028828177011207e-18,1.0888065884783052e-23,6.282343992951026e-54,9.299782234820872e-20,1.037730873591769e-52,2.513465131837299e-07,2.566874693361221e-61,2.957450353248257e-20,1.021845412369307e-31,2.347775796741324e-06,1.0611595009436304e-43,0.43623161687060547,0.5954608207540137,4.988153724779495e-05,0.03711024637431857,5.15974758154918e-16,2.263114420403166e-10,1.919552889798712e-21,1.5937619204418807e-28,1.493055608738484e-35,6.4213897314734516e-09
4.0,5.5,5.5,004.0-007.0,0.022120014180262083,8.948389531125452e-24,3.8774651589237255e-12,0.9060051252825151,0.17307963775036697,5.665119383155507e-41,1.4469741424463284e-06,1.3495597589891282e-42,4.201017178627057e-20,1.641620082186914e-55,7.157331294258403e-11,1.796587715397506e-11,0.2908832941210869,2.1805902419097956e-14,0.363884343187163,0.09891917108225107,5.104768635441043e-17,1.8062319308875527e-50,1.1246914827961728e-36,1.303599010574935e-20,3.017791032158221e-07,2.029182861307519e-92,1.7510758344977884e-07,3.5255944308558744e-09,4.540885987515854e-33,0.724759791321622,0.7203275556948995,0.9510505900918277,9.550242952848339e-37,8.600118275666638e-32,0.862889931434371,2.2551871943883862e-79,0.18786477893467043,2.1802997974859375e-62,5.081761130208708e-60,4.049685171815533e-28,1.2297616040517972e-13,1.0407070741571598e-28,1.4467253925702384e-08,0.0135922682050783,1.3838623562838855e-08,7.70812250474268e-18,9.851099876434033e-55,0.028291810416671538,6.344568339469746e-44,7.538715774750194e-31,2.2317521956882275e-12,0.06423319650736194,4.3543017961981295e-35,7.616410689718918e-91,0.004242769461355615,5.823219965972494e-32,0.06825213368755742,0.004911779461869104,4.073058322208407e-75,1.8220447062175825e-10,3.680714103841008e-15,7.754558348412414e-10,1.4860684308254117e-11,1.444739624428969e-07
4.5,6.0,6.0,004.5-007.5,2.413411897747577e-16,0.28013271629752584,0.0704821196758099,2.6684902280196387e-52,4.6775686395727106e-57,1.356903908766209e-57,9.679381252184768e-45,1.725369462446232e-63,0.022218625660989217,1.0094392720596949e-50,2.1114250824375335e-12,4.2636838461536457e-26,1.875489124085742e-08,1.1074155990027985e-15,0.2187881453575064,4.4969398008425844e-20,6.810305680364889e-26,7.736813096878292e-09,3.883438660079964e-37,3.543589964599457e-07,3.2762675808635446e-47,0.010805290030592914,0.5358603246654455,1.0550837072245405e-31,5.499475274478446e-23,0.09540355218557044,2.4033666342526704e-39,2.9125873359760323e-22,3.2741901309294597e-21,4.3434083654017357e-29,1.2226530551020045e-21,4.3754699602037475e-60,1.1869563739269678e-09,1.2526053388683728e-54,2.3104275910233746e-65,2.5746081812446335e-30,5.373134567852389e-26,2.2906743239039273e-37,1.0489435399733094e-24,3.1196506187469225e-23,1.370642467626186e-18,0.2534272504083467,1.808033738704061e-55,0.5840658467127611,9.900189039897844e-24,1.2338308137773956e-05,0.45923088289341335,1.4058849570896934e-10,5.091079291673975e-47,4.186989219477803e-17,0.031382972946350604,3.760416475327389e-23,6.191097381508751e-11,8.297786347528598e-06,0.07419571016776673,3.0785880076912e-11,0.021243961613449346,0.4392608107786686,0.00020328292117161812,0.6454052212144646
5.0,6.5,6.5,005.0-008.0,2.158566166268565e-77,1.117465609669043e-06,5.450231126810482e-11,1.5396005391406946e-63,0.19490710508760528,5.775045531431845e-29,7.438668995129204e-23,5.077060806698632e-40,0.0034435423463355023,3.843555016290028e-39,9.766901365783407e-58,4.703747613046421e-39,0.00016927946849974778,3.947184834215653e-18,9.463224250033283e-36,1.7688563032524956e-40,0.22420171164430813,8.512608065745724e-07,2.443235022210797e-13,4.012062695948258e-57,3.113388578238805e-53,7.468042541162716e-18,1.3344235867931176e-54,1.293753702293353e-06,0.00039999130978335824,1.677608986709211e-20,0.8182116197861542,1.5771352109069052e-23,4.027726910561603e-27,2.778442343540529e-79,0.5416322129966116,5.926659423693161e-20,0.22943820327542663,3.646783099118217e-46,1.6989392545242627e-65,1.1839970961507522e-37,3.3455806269857146e-51,2.3722651500827496e-34,2.1803962838320424e-10,1.073563116351172e-11,1.224013531438541e-34,0.09174307288062036,3.6737021389709687e-06,1.0844769607041649e-05,7.584411743563027e-17,2.207176323681765e-50,1.2815646913953219e-12,8.37616037158905e-23,2.0690945001774583e-26,1.265609074240679e-58,3.580029783407593e-12,0.583724852995326,5.53935665313985e-41,7.728805178237216e-37,7.642021919647528e-27,4.628437465381553e-06,1.5054558603456202e-30,6.144609660773107e-23,1.4551108983653712e-31,0.00010479513330253423
5.5,7.0,7.0,005.5-008.5,0.41446700598343283,8.552802531255988e-23,8.896202438748122e-27,6.032027046807864e-31,0.7641069182988149,1.7943491099936296e-26,3.874946568490251e-54,1.1076430805075202e-16,1.2804565789860987e-05,4.765766319076438e-21,1.0747834577792056e-47,2.8743094574364575e-64,6.50553500344477e-28,8.878610426734998e-05,3.939950476709261e-108,4.148947931751523e-16,0.010271249831718867,1.1019600916942138e-17,1.8190187865833655e-21,3.0095592547818555e-58,7.061874704145636e-33,0.0004910687969531916,2.0453413803455187e-08,0.9708058044553789,4.0744160383718655e-06,2.9240705183226155e-06,0.00018698599824412706,2.3626486192621626e-07,0.00012661773550196045,1.3640946542686575e-60,0.7407442755193607,2.169352414415001e-65,1.6372411966185785e-23,3.001691534091446e-50,5.646406211200654e-62,4.565442722205281e-31,1.709731793433166e-70,5.632034109989235e-50,3.3923108415149894e-52,0.5378198371379954,0.7734668911554126,0.0016194272812192273,0.11624610324971404,5.155644162537698e-07,0.8258526406573456,2.7955224396911927e-32,1.3522527578930447e-31,3.105298803929102e-05,0.10461466498225415,2.653549401659407e-56,0.09688284218283577,0.015203895982797672,9.935087723910638e-13,2.3550526296919253e-45,0.00020665526259228004,0.047018773990258035,2.3823970564358183e-19,2.429750002996389e-50,4.449037226205633e-37,7.12830285948574e-48
6.0,7.5,7.5,006.0-009.0,0.0024210784821536127,2.9468504346978544e-27,0.7612758740977071,2.529978868253185e-66,7.6040096221058e-55,0.05450708564679427,0.002195914771401085,1.3582163179107063e-17,2.672207848872082e-10,1.2069796197518616e-20,0.20972060165344822,0.00020364277112220174,5.966917915191721e-37,5.3038752454597774e-17,1.7331952549210083e-07,2.4083665687802112e-64,7.694955608328485e-26,0.0008208632454567501,1.2268111673352963e-34,3.8113602484100655e-36,3.03738199601245e-20,0.0014302250444903502,0.0002767247198935158,6.046831530170544e-13,1.3163936024965517e-18,0.00950899043792953,0.003286188362495647,9.80366350581073e-50,7.140772831181155e-26,5.0421776438694905e-57,5.972637371013127e-16,1.8877193279921648e-50,1.3189638678533013e-06,1.1471448369283748e-30,2.7427460783126026e-48,7.846322457423963e-26,0.0023803224295062065,5.326968986749896e-14,7.84394987908515e-30,1.0085977343537854e-29,1.5628341544757645e-05,0.7609345668777706,1.2647362211490904e-35,4.6806406158321974e-96,1.9718124327117777e-13,0.000404704198569786,6.188188565810328e-59,3.2614472724146707e-17,4.28172368213839e-33,7.151084887496571e-31,0.45228510143347217,0.0001837701590755993,2.3490763039925076e-08,1.2802347574221366e-25,2.2040800002648296e-39,6.441455622608889e-23,6.925958191023372e-55,1.3579112133311214e-75,1.4319335991202e-65,1.3261533781652224e-17
6.5,8.0,8.0,006.5-009.5,1.0325446551207991e-64,0.07270734275104361,8.576406922998187e-41,1.1600996177349192e-40,1.0986244066941355e-15,2.0790578534547908e-52,6.169559571423105e-28,0.2233103453996185,5.846429332392529e-11,9.012906046401021e-07,1.462535883187879e-30,6.209944554486741e-17,0.0005673953826411573,2.59349958310584e-05,2.827183919305635e-77,8.2940441139695e-30,9.422562789967786e-49,3.885119856921779e-09,1.0933569991947334e-09,2.485230465649221e-69,5.646971151619133e-09,0.09557677543923555,4.0258569468755116e-22,4.226010849069562e-38,0.5054187674528218,0.3333212581822653,1.7135727002913707e-37,6.776262422655669e-43,2.2571277465667605e-23,3.9071453374484466e-39,0.6397158067080698,4.034734603892876e-06,1.4554381958897963e-06,2.0052033500122772e-23,4.923870515961338e-56,1.2862171010220308e-29,4.310777246846021e-05,4.452208397076117e-31,0.0006325365945723451,2.437327373798458e-23,3.546698414387054e-30,2.8102906347384936e-30,0.689928287945894,9.554815176541421e-07,1.5174859822131396e-28,5.625092538099685e-38,6.440626482778024e-69,0.5308365692802381,2.4599338536266348e-39,0.010183000410471708,0.10956025437113812,2.5362258287590602e-54,1.1897988265634076e-36,7.084695676717343e-21,3.435384002186864e-26,3.619154844058799e-11,3.7434083976090514e-38,8.86914540292042e-06,6.295733763353098e-28,5.76727313208418e-10
7.0,8.5,8.5,007.0-010.0,0.00163260201081658,7.879032503740961e-05,1.1520812887383074e-07,5.8083646190973686e-24,4.693757407351266e-10,0.00037499760451085025,0.047602260151018996,1.5366519570881747e-16,2.32307169005865e-16,2.2108271515396225e-11,0.02819933054690455,3.514250488446248e-16,0.020546782106820677,0.00015427206140993064,1.1038698968092471e-72,2.5654821425047576e-36,1.3022889185976541e-10,1.4933942498135487e-37,4.143974664612687e-24,1.4758772384200248e-12,2.3926820302375964e-22,0.10301453480889874,0.0019258158232393105,1.087381114393414e-22,4.981340081726286e-07,9.386782872421812e-60,0.10816390496099108,4.2274299345508144e-06,4.7020100769649075e-05,1.5297440261707675e-22,0.9861899912865033,6.885038147053188e-47,0.4780357956156918,6.542120460906649e-43,8.374084886386711e-75,0.253798275514511,5.380045499870434e-33,1.2161107008772837e-49,5.024239571320723e-44,1.1021994992800385e-18,0.6303285008013239,3.349542237051209e-18,2.4052594003287797e-16,6.116181530952533e-45,1.0647897367675358e-35,6.29702549810271e-05,1.0245994187756558e-61,3.7034196249414946e-52,1.0390918458742856e-31,6.880684620432142e-31,1.7452289811303617e-19,9.377642241571595e-05,0.037972922307336454,0.018181685780521328,5.679466906715326e-94,2.425587172865399e-93,1.004391917380514e-70,7.543521300847311e-32,1.017986440960741e-27,3.2001481261856036e-46
